City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Hambantota,LK,6.1241,81.1185,82.74,83,20,10.36,few clouds
324,Holme,DK,56.1138,10.1725,44.74,92,85,5.01,overcast clouds
325,Boo,SE,59.3333,18.2833,35.98,92,90,10.36,overcast clouds
326,Xingyi,CN,24.1877,102.817,50.72,80,99,4.0,overcast clouds
327,Kawanoe,JP,34.0167,133.5667,71.67,74,100,5.91,overcast clouds
328,Lichuan,CN,30.3,108.85,47.32,48,31,4.61,scattered clouds
329,Mnogovershinnyy,RU,53.9353,139.9242,20.79,71,72,9.24,broken clouds
330,Tefe,BR,-3.3542,-64.7114,72.12,94,53,1.81,light rain
331,Campoverde,PE,-8.4753,-74.8058,73.38,80,87,0.54,overcast clouds
332,Dzilam Gonzalez,MX,21.2833,-88.9333,67.91,74,27,4.79,scattered clouds
333,Esik,KZ,43.3552,77.4525,24.22,45,1,1.95,clear sky
334,Nanakuli,US,21.3906,-158.1547,76.98,78,40,5.75,scattered clouds
335,Pangoa,PE,-12.1167,-73.0,68.25,99,100,1.43,overcast clouds
336,Aljezur,PT,37.3191,-8.8033,45.63,56,3,7.16,clear sky
337,Caraballeda,VE,10.6112,-66.8522,78.37,75,20,0.0,few clouds
338,Anlu,CN,31.1661,112.5831,55.96,34,26,3.85,scattered clouds
339,Durazno,UY,-33.4131,-56.5006,52.07,89,11,5.12,few clouds
340,Mar Del Plata,AR,-38.0023,-57.5575,57.22,96,90,4.0,thunderstorm with rain
341,Bowen,AU,-20.0167,148.2333,88.02,75,25,11.32,scattered clouds
342,Kiama,AU,-34.6833,150.8667,72.0,81,39,9.55,scattered clouds
343,Inirida,CO,3.8653,-67.9239,72.93,99,98,2.42,overcast clouds
344,Jaitaran,IN,26.2031,73.9364,85.51,19,62,3.36,broken clouds
